Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 14:44,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,19,201,0,0
2016-12-10 14:44,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,47,1027,0,0
2016-12-10 14:44,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,77,634,0,0
2016-12-10 14:44,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,87,551,0,0
2016-12-10 14:44,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,19,358,0,0
2016-12-10 14:44,1008,F A PUEBLA NORTE XONACATEPEC,CENTRO SUR,PUEBLA NORTE,74,627,0,0
2016-12-10 14:44,1011,F A XALAPA ORIZABA,CENTRO SUR,XALAPA,36,178,0,0
2016-12-10 14:44,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,6,461,0,0
2016-12-10 14:44,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,62,595,0,0
2016-12-10 14:44,1025,F A XALAPA AVILA CAMACHO,CENTRO SUR,XALAPA,24,550,0,0
2016-12-10 14:44,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,29,519,0,0
2016-12-10 14:44,105,F A PUEBLA SUR ANZURES,CENTRO SUR,PUEBLA SUR,17,885,0,0
2016-12-10 14:44,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,12,119,0,0
2016-12-10 14:44,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,135,901,0,0
2016-12-10 14:44,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,14,90,0,0
2016-12-10 14:44,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,8,332,0,0
2016-12-10 14:44,106,F A PUEBLA NORTE BOULEVARD NORTE,CENTRO SUR,PUEBLA NORTE,13,202,0,0
2016-12-10 14:44,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,45,353,0,0
2016-12-10 14:44,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,24,858,0,0
2016-12-10 14:44,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,10,60,0,0
2016-12-10 14:44,107,F A PUEBLA SUR ZARAGOZA,CENTRO SUR,PUEBLA SUR,23,247,0,0
2016-12-10 14:44,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,71,377,0,0
2016-12-10 14:44,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,13,72,0,0
2016-12-10 14:44,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,118,522,0,0
2016-12-10 14:44,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,15,1153,0,0
2016-12-10 14:44,108,F A PUEBLA SUR CENTRO,CENTRO SUR,PUEBLA SUR,6,1065,0,0
2016-12-10 14:44,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,12,86,0,0
2016-12-10 14:44,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,89,1180,0,0
2016-12-10 14:44,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,14,407,0,0
2016-12-10 14:44,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,10,1402,0,0
2016-12-10 14:44,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,92,504,0,0
2016-12-10 14:44,109,F A PUEBLA NORTE XONACA,CENTRO SUR,PUEBLA NORTE,33,205,0,0
2016-12-10 14:44,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,724,3825,0,0
2016-12-10 14:44,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,446,3519,0,0
2016-12-10 14:44,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,60,950,0,0
2016-12-10 14:44,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,27,3085,0,0
2016-12-10 14:44,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,57,349,0,0
2016-12-10 14:44,110,F A PUEBLA NORTE CHOLULA CENTRO,CENTRO SUR,PUEBLA NORTE,72,392,0,0
2016-12-10 14:44,1101,F A LEON MERCADO,BAJIO,LEON,43,713,0,0
2016-12-10 14:44,1106,F A TAPACHULA HOSPITAL,SURESTE,TAPACHULA,199,479,0,0
2016-12-10 14:44,1111,F A XALAPA COATEPEC JUAREZ,CENTRO SUR,XALAPA,28,388,0,0
